from,to,relationship
500,UL,1
500,LK,1
500,NR,1
500,SW,1
500,CS,1
UL,LK,1
UL,NR,2
UL,SW,1
UL,CS,1
LK,NR,1
LK,SW,1
LK,CS,1
NR,SW,1
NR,CS,1
SW,CS,1
501,CL,1
501,KS,1
501,LM,1
501,KD,1
501,EL,1
501,NR,1
CL,NR,1
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
KS,NR,1
KS,LM,1
KS,KD,1
KS,EL,1
LM,NR,1
LM,KD,1
LM,EL,1
KD,NR,1
KD,EL,1
NR,EL,1
502,AB,1
502,FT,1
502,AM,1
502,AL,1
502,ER,1
AB,FT,1
AB,AM,1
AB,AL,1
AB,ER,1
ER,FT,1
ER,AM,1
ER,AL,1
AL,AM,1
AL,FT,1
AM,FT,1
503,LK,1
503,RH,1
503,CM,1
503,KP,1
503,RK,1
LK,RH,1
LK,CM,1
LK,KP,1
LK,RK,1
RH,CM,1
RH,KP,1
RH,RK,1
CM,KP,1
CM,RK,1
KP,RK,1
504,AL,1
504,CLA,1
504,SB,1
504,CH,1
504,MW,1
AL,CLA,1
AL,SB,1
AL,CH,1
AL,MW,1
CLA,SB,1
CLA,CH,1
CLA,MW,1
SB,CH,1
SB,MW,1
CH,MW,1
